logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000111704__ENSMUSG00000012396	4.06005136629703	7.73385106900534	29.8523070787336	1.17426577294039e-13	6.16401899019602e-12	21.8164599240873
ENSG00000266028__ENSMUSG00000026425	13.6693068073435	0.565924577906808	41.7008731402175	1.38961908614525e-15	3.5543929643439e-13	21.8091934460485
ENSG00000155792__ENSMUSG00000022419	5.27009264500614	4.15334594939702	30.5215540278492	8.75792274755588e-14	5.133602383859e-12	21.7988964616511
ENSG00000269881__ENSMUSG00000024187	12.7287613024219	0.0634233611280986	41.813541143584	1.34058585675775e-15	3.49247441349407e-13	21.7966390376444
ENSG00000257767__ENSMUSG00000029455	14.6708136497011	1.0200537024064	41.3646498851952	1.54774994553835e-15	3.81995547961991e-13	21.7844839169392
ENSG00000124196__ENSMUSG00000070708	12.2311493094416	-0.110671275748978	41.8631438978819	1.31959078451775e-15	3.49247441349407e-13	21.7803061123024
ENSG00000267561__ENSMUSG00000040151	12.0627375717559	-0.237407282701704	41.9245657972464	1.2940812221636e-15	3.49247441349407e-13	21.7786738853454
ENSG00000268643__ENSMUSG00000057177	12.8114296584387	0.121477950785204	41.5955830776095	1.43718569668861e-15	3.61041578232418e-13	21.7696602217474
ENSG00000169682__ENSMUSG00000030741	8.01669617538717	3.50399822556169	31.8657833465431	4.94989109532814e-14	3.46001699099273e-12	21.764228729691
ENSG00000164741__ENSMUSG00000031523	5.21962329166821	4.83538536269367	30.0133262892405	1.09363076584775e-13	5.96325488912643e-12	21.7508329296007
ENSG00000198886__ENSMUSG00000064363	16.3798323863111	1.93513964474983	40.9289156002809	1.78204835684052e-15	3.91716504438007e-13	21.7488063086881
ENSG00000262481__ENSMUSG00000070394	12.7520915212618	0.112215588336217	41.2388295611478	1.61180494167166e-15	3.90946067576498e-13	21.7175827001953
ENSG00000204220__ENSMUSG00000024309	12.577494983711	0.0222333476406857	41.1715780928261	1.64720528085236e-15	3.91716504438007e-13	21.7012496645718
ENSG00000231989__ENSMUSG00000047714	7.66034652410581	2.26993170968214	33.1946142049494	2.88042381089018e-14	2.34230070356087e-12	21.6996288518627
ENSG00000125954__ENSMUSG00000033373	13.2067067295564	0.342474951383535	40.9330442053445	1.77965748991381e-15	3.91716504438007e-13	21.6885690553541
ENSG00000054219__ENSMUSG00000026980	8.9307804953031	3.82563659702255	31.9145732474696	4.85058623006601e-14	3.41190235422843e-12	21.6846140421008
ENSG00000119138__ENSMUSG00000033863	7.29820047291928	3.3573147386694	31.4108949332719	5.9881587135273e-14	3.91820543171638e-12	21.6691474456717
ENSG00000213782__ENSMUSG00000030204	7.32980892241781	3.53353040003938	31.6225420904064	5.47863084518582e-14	3.67016089190829e-12	21.6590989583916
ENSG00000113657__ENSMUSG00000024501	-3.92561070514195	8.01443253785407	-29.5022149221464	1.37247197320835e-13	6.9550829370301e-12	21.6587691807281
ENSG00000269307__ENSMUSG00000031820	12.2987592417909	-0.111354502218991	40.9526493260216	1.76835113074364e-15	3.91716504438007e-13	21.6570819274932
ENSG00000204231__ENSMUSG00000039656	12.0636106134967	-0.225391643835428	41.0024972413287	1.73994960375077e-15	3.91716504438007e-13	21.6507353976758
