rep1	rep2	rep3
ENSMUSG00000104027	2.24967959530012	1.07042100955291	0
ENSMUSG00000102407	0	0	0
ENSMUSG00000103214	0	0	0
ENSMUSG00000104100	3.37451939295018	5.35210504776456	4.13650492877441
ENSMUSG00000084740	0	0	0
ENSMUSG00000103889	3.37451939295018	1.07042100955291	4.9638059145293
ENSMUSG00000101301	0	0	0
ENSMUSG00000104221	0	0	0
ENSMUSG00000102250	0	0	1.65460197150977
ENSMUSG00000102317	6.74903878590035	10.7042100955291	6.61840788603906
ENSMUSG00000103563	0	0	0
ENSMUSG00000102465	19.122276560051	17.1267361528466	14.064116757833
ENSMUSG00000102659	49.4929510966026	35.3238933152461	28.128233515666
ENSMUSG00000103924	0	0	0
ENSMUSG00000104132	2.24967959530012	0	0
ENSMUSG00000102747	0	2.14084201910582	2.48190295726465
ENSMUSG00000102386	2.24967959530012	3.21126302865873	2.48190295726465
ENSMUSG00000103004	0	0	0
ENSMUSG00000104516	0	0	0
ENSMUSG00000101618	0	0	0
ENSMUSG00000099458	0	0	0
ENSMUSG00000088111	0	0	0
ENSMUSG00000073722	0	0	0
ENSMUSG00000095256	0	0	0
ENSMUSG00000100310	0	0	0
ENSMUSG00000101514	0	0	0
ENSMUSG00000101033	0	0	0
ENSMUSG00000101372	1.12483979765006	3.21126302865873	0
ENSMUSG00000103241	1.12483979765006	0	0.827300985754883
ENSMUSG00000086240	40.4942327154021	70.6477866304922	66.1840788603906
ENSMUSG00000048411	0	0	0
ENSMUSG00000081557	28.1209949412515	16.0563151432937	14.064116757833
ENSMUSG00000058590	0	0	0
ENSMUSG00000101235	0	0	0
ENSMUSG00000064433	0	0	0
ENSMUSG00000080625	0	0	0
ENSMUSG00000080391	0	0	0
ENSMUSG00000099257	0	0	0
ENSMUSG00000099492	12.3732377741506	12.8450521146349	2.48190295726465
ENSMUSG00000101726	0	0	0
ENSMUSG00000096829	0	0	0
ENSMUSG00000098883	0	0	0
ENSMUSG00000053185	0	0	0
ENSMUSG00000100261	4.49935919060024	8.56336807642329	1.65460197150977
ENSMUSG00000101180	0	0	0
ENSMUSG00000048874	17305.6602868462	16520.8778614396	16735.4716408355
ENSMUSG00000103783	15.7477571671008	9.6337890859762	25.6463305584014
ENSMUSG00000104315	23.6216357506512	17.1267361528466	12.4095147863232
ENSMUSG00000026064	10330.5287016181	10261.0557975742	9751.3967190928
ENSMUSG00000086151	0	2.14084201910582	0
ENSMUSG00000086726	0	0	0
ENSMUSG00000087346	0	0	0
ENSMUSG00000100371	1.12483979765006	2.14084201910582	0
ENSMUSG00000100237	0	0	0
ENSMUSG00000098529	0	0	0
ENSMUSG00000086727	1.12483979765006	0	3.30920394301953
ENSMUSG00000100910	0	0	0
ENSMUSG00000099796	0	0	0
ENSMUSG00000050217	0	0	0
ENSMUSG00000026063	0	0	0
ENSMUSG00000077664	0	0	0
ENSMUSG00000100205	0	0	0
ENSMUSG00000100592	0	0	0
ENSMUSG00000094215	0	0	0
ENSMUSG00000101093	0	0	0
ENSMUSG00000070960	85.4878246214045	62.0844185540689	84.384700546998
ENSMUSG00000088620	0	0	0
ENSMUSG00000082159	0	0	0
ENSMUSG00000026058	8.99871838120047	12.8450521146349	4.13650492877441
ENSMUSG00000064688	0	0	0
ENSMUSG00000103482	0	0	0
ENSMUSG00000104498	2.24967959530012	0	1.65460197150977
ENSMUSG00000104313	0	0	0
ENSMUSG00000102865	0	0	0
ENSMUSG00000102321	0	0	0.827300985754883
ENSMUSG00000091318	1.12483979765006	2.14084201910582	0
ENSMUSG00000089489	0	0	0
ENSMUSG00000104433	5.62419898825029	10.7042100955291	6.61840788603906
ENSMUSG00000089395	0	0	0
ENSMUSG00000102926	3.37451939295018	5.35210504776456	1.65460197150977
ENSMUSG00000100497	0	0	0
ENSMUSG00000102917	48.3681112989525	69.5773656209392	61.2202729458613
