baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000184163__ENSMUSG00000023571	183.859081015549	-2.58580699975715	0.246477597161627	-10.4910427135555	9.49744231316966e-26	2.72612047117977e-25
ENSG00000160087__ENSMUSG00000023286	3061.64830795442	-0.0199006240018384	0.115005669048731	-0.17304037415239	0.862619692296667	0.875884849142771
ENSG00000131584__ENSMUSG00000029033	1580.0362209782	0.816393402843475	0.0940895437438678	8.67677076919275	4.07164625384341e-18	9.69323074200423e-18
ENSG00000169972__ENSMUSG00000051557	1019.21132682424	-0.520297107328392	0.109920274696264	-4.73340435844157	2.20785022445576e-06	3.6342332935027e-06
ENSG00000127054__ENSMUSG00000029034	3461.61489025908	0.588423260421143	0.0887559380827096	6.62967766587971	3.36420692576452e-11	6.63592456057286e-11
ENSG00000224051__ENSMUSG00000029073	590.105226167209	0.518616137477793	0.136131175780247	3.8096794103577	0.000139147103388888	0.000210075123200985
ENSG00000169962__ENSMUSG00000029072	15.1594533106737	1.8917866493395	0.799608497983632	2.3658911256071	0.0179867330182156	0.0235990081010772
ENSG00000107404__ENSMUSG00000029071	2054.39854628442	1.26646638593384	0.102367448639613	12.3717685921085	3.71549075351955e-35	1.29839124625389e-34
ENSG00000162576__ENSMUSG00000029070	974.605199074348	4.044063367729	0.168481169523823	24.0030584970338	2.58363517793158e-127	2.82957737275392e-126
ENSG00000175756__ENSMUSG00000065990	3471.43653926014	-0.0378174919523195	0.101461918621584	-0.372725969172383	0.709352406398421	0.741587495658355
ENSG00000221978__ENSMUSG00000029068	6082.97635677371	-0.125058485220136	0.101755640980189	-1.22900788610318	0.21906884928486	0.256806298042409
ENSG00000242485__ENSMUSG00000029066	2900.20296373405	-0.283851573907585	0.109816063469151	-2.58479101272214	0.00974380379711754	0.0130543992952283
ENSG00000235098__ENSMUSG00000078487	25.6519011215559	2.55688255950342	0.601012459954568	4.25429209853104	2.09711400782945e-05	3.29833483029981e-05
ENSG00000205116__ENSMUSG00000073680	24.3020787740043	1.31583630121099	0.588945776952088	2.23422317079971	0.0254683925803232	0.0329970131084751
ENSG00000179403__ENSMUSG00000042116	609.708362555466	6.92107993270235	0.294349990469189	23.513097186347	2.99625178316977e-122	3.10424630451881e-121
ENSG00000197785__ENSMUSG00000029036	4406.61994179129	-1.21139790082934	0.132327103490103	-9.15457127737962	5.45740738310109e-20	1.36446415351398e-19
ENSG00000205090__ENSMUSG00000084845	64.1722878150892	4.64135101596478	0.500962955013299	9.2648587475726	1.95335704206996e-20	4.94416371315041e-20
ENSG00000160075__ENSMUSG00000029038	5077.11100833172	0.244231675671577	0.0758066523249996	3.22177102115659	0.00127400907172063	0.00181457923587626
ENSG00000228594__ENSMUSG00000074738	644.958577578993	-0.586862498144976	0.15986534179046	-3.67098016100446	0.000241622096529884	0.000360750539665788
ENSG00000197530__ENSMUSG00000029060	2158.1369185787	-1.1213008400334	0.0916825743939114	-12.2302503768684	2.14277139549055e-34	7.37207209956953e-34
ENSG00000189409__ENSMUSG00000029061	70.6758806818325	-0.471173532107475	0.353007762142114	-1.33473986307924	0.18196150185652	0.215847582492561
ENSG00000248333__ENSMUSG00000029062	5723.03489205156	-2.43017534868943	0.0829452379819524	-29.2985517651803	1.08213798186007e-188	1.87460861040094e-187
ENSG00000189339__ENSMUSG00000042202	3551.87479068439	1.585065545177	0.0626336501036249	25.3069323367642	2.67958215834455e-141	3.26421826561973e-140
