index	gene_name	mean_tpm
ENSG00000114315	HES1	1326.3688064277949
ENSG00000272602	ZNF595	111.2666933250045
ENSG00000250312	ZNF718	624.0230238847255
ENSG00000131127	ZNF141	1240.55049906781
ENSG00000235608	NKX1-1	1.334546118704735
ENSG00000123933	MXD4	2166.95816436223
ENSG00000168826	ZBTB49	309.56200675425
ENSG00000163132	MSX1	438.79288655791595
ENSG00000215612	HMX1	16.8819577354752
ENSG00000109705	NKX3-2	160.7188722809865
ENSG00000178177	LCORL	1411.42448705359
ENSG00000168214	RBPJ	10811.546412921449
ENSG00000109787	KLF3	3223.2355081491696
ENSG00000109132	PHOX2B	67.1555361476623
ENSG00000180613	GSX2	2.5756638758722046
ENSG00000134852	CLOCK	2137.125333335395
ENSG00000084093	REST	5822.5543913069105
ENSG00000189308	LIN54	1326.3673877758902
ENSG00000163623	NKX6-1	64.1321862617342
ENSG00000180346	TIGD2	516.6874150038391
ENSG00000172238	ATOH1	24.11667715013305
ENSG00000109320	NFKB1	595.2041236448144
ENSG00000138795	LEF1	1194.570774659725
ENSG00000164093	PITX2	459.815078562035
ENSG00000178403	NEUROG2	5.385607981542845
ENSG00000109381	ELF2	2166.3530079900997
ENSG00000170365	SMAD1	819.322955137136
ENSG00000151615	POU4F2	13.885156906730082
ENSG00000151623	NR3C2	86.1194668941405
ENSG00000164107	HAND2	33.553346994514
ENSG00000168310	IRF2	473.4199503841535
ENSG00000187821	HELT	0.0
ENSG00000179059	ZFP42	4127.226446611399
ENSG00000063438	AHRR	47.6950772324939
ENSG00000113430	IRX4	48.068790678642955
ENSG00000170561	IRX2	4576.984904444145
ENSG00000170549	IRX1	742.6709631002909
ENSG00000164256	PRDM9	0.0
ENSG00000016082	ISL1	61.06425017290315
ENSG00000251493	FOXD1	2.01367505473808
ENSG00000171540	OTP	1.1239776422682548
ENSG00000164299	SPZ1	0.0
ENSG00000081189	MEF2C	250.8936569936965
ENSG00000175745	NR2F1	3418.179155107475
ENSG00000061455	PRDM6	8.710117401623716
ENSG00000125347	IRF1	245.174665813176
ENSG00000081059	TCF7	1151.31992853385
ENSG00000069011	PITX1	73.00686728498104
ENSG00000181965	NEUROG1	3.7930698796777245
ENSG00000113658	SMAD5	6363.60127560214
ENSG00000120738	EGR1	1070.0113129329193
ENSG00000171604	CXXC5	6337.7108782347095
ENSG00000185129	PURA	553.8512311106881
