orth_id	hESC_rep1	hESC_rep1.UT	hESC_rep2	hESC_rep2.UT	hESC_rep3	hESC_rep3.UT	mESC_rep1	mESC_rep1.UT	mESC_rep2	mESC_rep2.UT	mESC_rep3	mESC_rep3.UT
ENSG00000204518__ENSMUSG00000078505	1	0	1	0	2	1	0	0	0	0	0	0
ENSG00000188984__ENSMUSG00000078507	70	30	65	20	87	25	0	0	0	0	0	0
ENSG00000157330__ENSMUSG00000028589	0	0	2	0	2	0	0	0	0	0	0	0
ENSG00000179172__ENSMUSG00000060373	1	0	3	2	3	3	11243	9851	11163	12482	12311	12651
ENSG00000179412__ENSMUSG00000060373	0	0	0	0	0	0	11243	9851	11163	12482	12311	12651
ENSG00000162494__ENSMUSG00000028584	7	3	14	9	13	10	2	0	0	0	5	2
ENSG00000162493__ENSMUSG00000028583	6888	2565	6893	3795	7358	3749	463	253	534	478	684	586
ENSG00000116731__ENSMUSG00000057637	1475	658	1150	744	2058	739	1377	1060	1332	1429	1504	1554
ENSG00000189337__ENSMUSG00000040606	840	299	780	268	841	324	2649	2340	2485	2268	3289	2870
ENSG00000171729__ENSMUSG00000040616	641	162	632	113	539	176	609	443	600	553	565	402
ENSG00000142621__ENSMUSG00000051435	95	36	86	29	94	41	7	6	9	6	11	12
ENSG00000142634__ENSMUSG00000040659	1561	440	1832	545	1341	626	749	393	516	347	751	532
ENSG00000162438__ENSMUSG00000062478	0	1	2	0	0	1	0	0	0	0	0	0
ENSG00000142615__ENSMUSG00000058579	3	0	2	0	0	0	1	3	6	4	5	10
ENSG00000215704__ENSMUSG00000058579	4	2	1	0	1	2	1	3	6	4	5	10
ENSG00000132906__ENSMUSG00000028914	1547	456	1425	562	1125	517	729	652	852	971	871	929
ENSG00000116138__ENSMUSG00000040697	1371	628	1083	689	1736	727	502	418	490	522	574	476
ENSG00000251866__ENSMUSG00000089210	0	0	1	0	1	0	0	0	0	0	0	0
ENSG00000116771__ENSMUSG00000040706	759	214	859	235	658	260	0	0	0	1	0	0
ENSG00000215695__ENSMUSG00000040715	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000215695__ENSMUSG00000078515	0	0	0	0	0	0	1175	1015	1198	1371	1283	1182
ENSG00000116786__ENSMUSG00000028917	5650	1326	5278	1465	4225	1593	672	446	489	385	690	460
ENSG00000162461__ENSMUSG00000040740	18	8	20	4	20	6	10	11	7	6	21	10
ENSG00000162460__ENSMUSG00000043085	46	7	36	12	43	13	169	154	159	126	221	156
ENSG00000162458__ENSMUSG00000006219	6544	1553	6893	1603	6224	1862	3052	2232	3279	3269	3423	3045
ENSG00000233954__ENSMUSG00000063882	1566	394	1416	450	1393	509	2664	1849	2444	1993	2114	1719
ENSG00000065526__ENSMUSG00000040761	4567	2564	3503	2311	6539	2716	2140	1605	2430	2096	2514	1887
ENSG00000116809__ENSMUSG00000006215	1378	359	1255	398	1094	379	731	562	678	696	793	707
ENSG00000183888__ENSMUSG00000070637	2	0	0	0	1	0	60	25	67	32	43	15
ENSG00000173641__ENSMUSG00000006221	6	5	8	4	4	1	3	2	8	5	3	2
ENSG00000185519__ENSMUSG00000006218	11	3	13	5	8	2	37	28	44	73	70	64
