orth_id	hESC_rep1	hESC_rep2	hESC_rep3	mESC_rep1	mESC_rep2	mESC_rep3
ENSG00000204624__ENSMUSG00000041544	343	362	291	1	4	10
ENSG00000116661__ENSMUSG00000041556	2239	2333	1783	40	53	79
ENSG00000116663__ENSMUSG00000055401	74	69	76	823	894	1030
ENSG00000116670__ENSMUSG00000029003	13932	13964	10138	598	517	590
ENSG00000162490__ENSMUSG00000029005	2819	3031	2587	15	10	22
ENSG00000177674__ENSMUSG00000029007	3026	2764	2110	3276	2938	3107
ENSG00000177000__ENSMUSG00000029009	2017	1469	1409	941	947	1067
ENSG00000011021__ENSMUSG00000029016	3227	2318	2854	1265	1346	1802
ENSG00000175206__ENSMUSG00000041616	9	6	16	0	2	1
ENSG00000120937__ENSMUSG00000029019	183	132	224	65	64	52
ENSG00000116685__ENSMUSG00000044496	4005	3966	3099	1756	1571	1708
ENSG00000083444__ENSMUSG00000019055	6700	6811	5144	1867	1733	2219
ENSG00000116688__ENSMUSG00000029020	10660	11038	8943	679	597	724
ENSG00000116691__ENSMUSG00000029022	3576	3173	2439	1169	1178	1388
ENSG00000202461__ENSMUSG00000088825	7	4	5	0	0	0
ENSG00000120949__ENSMUSG00000028602	3670	4187	3498	265	284	250
ENSG00000028137__ENSMUSG00000028599	199	192	144	623	429	683
ENSG00000048707__ENSMUSG00000020220	3128	1476	3615	1440	1429	1968
ENSG00000162496__ENSMUSG00000066026	644	598	704	105	107	148
ENSG00000221340__ENSMUSG00000080566	2	0	0	0	0	0
ENSG00000204518__ENSMUSG00000070609	1	1	2	0	0	0
ENSG00000204518__ENSMUSG00000041735	1	1	2	0	0	0
ENSG00000204518__ENSMUSG00000028593	1	1	2	0	0	0
ENSG00000204518__ENSMUSG00000078504	1	1	2	0	0	0
ENSG00000204518__ENSMUSG00000078505	1	1	2	0	0	0
ENSG00000188984__ENSMUSG00000078507	70	65	87	0	0	0
ENSG00000157330__ENSMUSG00000028589	0	2	2	0	0	0
ENSG00000179172__ENSMUSG00000060373	1	3	3	11243	11163	12311
ENSG00000179412__ENSMUSG00000060373	0	0	0	11243	11163	12311
ENSG00000162494__ENSMUSG00000028584	7	14	13	2	0	5
ENSG00000162493__ENSMUSG00000028583	6888	6893	7358	463	534	684
ENSG00000116731__ENSMUSG00000057637	1475	1150	2058	1377	1332	1504
ENSG00000189337__ENSMUSG00000040606	840	780	841	2649	2485	3289
ENSG00000171729__ENSMUSG00000040616	641	632	539	609	600	565
ENSG00000142621__ENSMUSG00000051435	95	86	94	7	9	11
ENSG00000142634__ENSMUSG00000040659	1561	1832	1341	749	516	751
ENSG00000162438__ENSMUSG00000062478	0	2	0	0	0	0
ENSG00000142615__ENSMUSG00000058579	3	2	0	1	6	5
ENSG00000215704__ENSMUSG00000058579	4	1	1	1	6	5
ENSG00000132906__ENSMUSG00000028914	1547	1425	1125	729	852	871
ENSG00000116138__ENSMUSG00000040697	1371	1083	1736	502	490	574
ENSG00000251866__ENSMUSG00000089210	0	1	1	0	0	0
ENSG00000116771__ENSMUSG00000040706	759	859	658	0	0	0
ENSG00000215695__ENSMUSG00000040715	0	0	0	0	0	0
ENSG00000215695__ENSMUSG00000078515	0	0	0	1175	1198	1283
ENSG00000116786__ENSMUSG00000028917	5650	5278	4225	672	489	690
ENSG00000162461__ENSMUSG00000040740	18	20	20	10	7	21
ENSG00000162460__ENSMUSG00000043085	46	36	43	169	159	221
ENSG00000162458__ENSMUSG00000006219	6544	6893	6224	3052	3279	3423
ENSG00000233954__ENSMUSG00000063882	1566	1416	1393	2664	2444	2114
ENSG00000065526__ENSMUSG00000040761	4567	3503	6539	2140	2430	2514
ENSG00000116809__ENSMUSG00000006215	1378	1255	1094	731	678	793
ENSG00000183888__ENSMUSG00000070637	2	0	1	60	67	43
ENSG00000173641__ENSMUSG00000006221	6	8	4	3	8	3
ENSG00000185519__ENSMUSG00000006218	11	13	8	37	44	70
ENSG00000142627__ENSMUSG00000006445	4835	5507	5296	2202	1875	1696
ENSG00000142632__ENSMUSG00000028919	3565	3642	2507	331	420	430
ENSG00000132881__ENSMUSG00000073733	213	177	132	33	42	44
ENSG00000037637__ENSMUSG00000028920	1793	1891	1929	1695	1559	1750
ENSG00000055070__ENSMUSG00000040842	8379	7807	6350	1781	1856	1744
ENSG00000187144__ENSMUSG00000045004	3	11	4	32	24	41
ENSG00000157191__ENSMUSG00000028923	3230	2946	2410	1012	842	1131
ENSG00000058453__ENSMUSG00000040860	3211	3057	3279	1371	1626	1620
ENSG00000117122__ENSMUSG00000060572	5878	6794	5152	11	10	17
ENSG00000159363__ENSMUSG00000036622	5437	5992	4789	1027	820	998
ENSG00000117118__ENSMUSG00000009863	5044	5611	4439	2888	2764	3091
ENSG00000117115__ENSMUSG00000028927	505	630	469	607	947	1106
ENSG00000142623__ENSMUSG00000025329	89	85	101	57	48	61
ENSG00000142619__ENSMUSG00000025328	143	135	77	252	261	403
ENSG00000159339__ENSMUSG00000025330	25	38	37	266	273	339
