gene_name	cisbp_motif_id	var_explained	beta	padj	activ_or_repr
CDX1	M05587_1	3.137789939477997e-05	0.046361490147608236	0.6760242467474823	activating
CDX1	M08520_1	6.628827284971273e-06	-0.023302421613672703	0.9188065989312897	repressing
CDX2	M09470_1	2.198860745694642e-05	-0.03911520835309944	0.7467229628529565	repressing
CDX4	M08523_1	3.046488825653171e-06	-0.015367916247868835	0.9803598851207439	repressing
CEBPA	M00400_1	6.980997038863457e-05	-0.1254318368579732	0.46681144675462494	repressing
CEBPB	M05589_1	0.0002235711233044002	0.154254199192301	0.12708392121797984	activating
CEBPD	M05591_1	0.0002576210863011186	0.16748112577834934	0.09816095014693847	activating
CEBPD	M08526_1	0.0012724450829917355	0.33246055487529846	3.2029016205659395e-05	activating
CEBPE	M05592_1	0.00024639484330657435	0.1578407225651808	0.1067885769099103	activating
CEBPG	M05594_1	0.0001263403579936373	0.11420758618238139	0.2892300574086689	activating
CEBPZ	M06474_1	0.03348634229078162	0.7546653706938389	9.376048527675644e-122	activating
CEBPZ	M03668_1	0.0	0.0	1.0	
CENPB	M05595_1	0.00014346964354505776	-0.08138298112408761	0.24742697377535808	repressing
CENPBD1	M00846_1	0.0	0.0	1.0	
CIC	M02158_1	0.0013433378266077822	0.20158540861797097	1.8383726675559915e-05	activating
CLOCK	M08534_1	0.0004038183527035333	-0.12498253323835601	0.0315077731242492	repressing
CLOCK	M05596_1	0.0006220726307381019	-0.2098690773017493	0.005535395862620745	repressing
CPEB1	M05597_1	3.188389166519645e-05	0.04090019838114228	0.673629195535252	activating
CREB1	M10066_1	0.011834317648674597	0.745328985415874	5.243597802147003e-43	activating
CREB3	M10072_1	0.0006777994222759709	0.1549274331735055	0.003585350880065044	activating
CREB3L1	M05601_1	5.181196055747961e-05	0.048516109842261235	0.5558262203598652	activating
CREB3L2	M00402_1	0.0016729848886001264	0.24446823748769775	1.3121226521974126e-06	activating
CREB3L4	M10091_1	0.0010263012567894858	0.15937159475445895	0.0002340276112614866	activating
CREB5	M08542_1	0.010000756679410805	0.6776894989317663	2.0330561493910636e-36	activating
CREB5	M08540_1	0.013487486600686438	0.7173977957878896	6.554315645281788e-49	activating
CREBL2	M07230_1	0.0061005289834745735	0.6197473814475218	2.0201818723322076e-22	activating
CREBZF	M00404_1	0.0006120864082133082	-0.3338570486586273	0.005994582102501895	repressing
CREM	M08544_1	0.012710682505306492	0.7227337318196503	3.862434803796609e-46	activating
CRX	M08546_1	0.00021883956952450934	-0.13576876141018873	0.1317455070132067	repressing
CTCF	M10351_1	0.000959490463381063	0.0833634763414517	0.0003962315474280169	activating
CTCFL	M05451_1	0.0010322859560958353	0.08921339320275665	0.00022517867656981033	activating
CUX1	M05609_1	0.00010616668058127665	-0.1427357527846919	0.34085779488735657	repressing
CUX2	M05611_1	3.0987116244718393e-05	-0.07984606899049938	0.6784752032585075	repressing
CXXC1	M00872_1	0.00023561165979901766	-0.06268741977482067	0.11602172823433315	repressing
CXXC1	M00872_1	0.00023561165979901766	-0.06268741977482067	0.11602172823433315	repressing
CXXC5	M00881_1	0.0	0.0	1.0	
DBP	M05613_1	0.0008488818078459248	0.37176769392867937	0.0009279336375095697	activating
DBX1	M01380_1	8.468025583074912e-06	0.03544589049850553	0.8929296536912044	activating
DBX2	M01428_1	0.0002136689651571766	-0.16740739360084628	0.13744165929350216	repressing
DDIT3	M03819_1	0.0	0.0	1.0	
DDIT3	M06487_1	6.135762443626458e-05	0.05219216364142795	0.5071432668029211	activating
DEAF1	M03876_1	0.0	0.0	1.0	
DEAF1	M03875_1	0.0	0.0	1.0	
DLX1	M08556_1	0.00010224078684251126	-0.10847991660896787	0.3513576211940023	repressing
DLX2	M08560_1	0.00010224078684251126	-0.10847991660896787	0.3513576211940023	repressing
DLX3	M05616_1	3.2498483518383914e-05	-0.06683124835355136	0.6696569501622964	repressing
DLX4	M05617_1	3.2498483518383914e-05	-0.06683124835355136	0.6696569501622964	repressing
DLX5	M08569_1	0.00010224078684251126	-0.10847991660896787	0.3513576211940023	repressing
DLX6	M05619_1	1.2321378439317243e-05	-0.0375273596296845	0.8373343431781807	repressing
DLX6	M08570_1	0.00010224078684251126	-0.10847991660896787	0.3513576211940023	repressing
DMBX1	M05620_1	6.119884821131905e-08	0.0020047068716196256	1.0	activating
DMBX1	M08571_1	0.0003565749154507136	-0.17641539934552475	0.04600049285541244	repressing
DMRT1	M00895_1	0.0002800149994198753	-0.1717657706726053	0.0826241858289033	repressing
DMRT2	M00898_1	4.042009079818776e-05	-0.0775373709272311	0.6232923276696842	repressing
DMRT3	M08575_1	1.1217497882354266e-05	-0.03952855617598755	0.8513825105723237	repressing
DMRT3	M00894_1	0.00015837041586685974	-0.1537983738096658	0.21854051435347258	repressing
DMRTA1	M08577_1	0.00013333994661834936	-0.130824016087507	0.2700105864223515	repressing
DMRTA2	M08579_1	0.00010582624503552296	-0.12147145431497043	0.340930625073177	repressing
DMRTA2	M00897_1	0.0002526313863874252	-0.16564385204984988	0.1018488310844187	repressing
DMRTC2	M09488_1	0.00023531910130702993	-0.18767834084585694	0.11614350336835562	repressing
DNMT1	M00879_1	5.028210591229154e-06	0.006757775931563053	0.9413429913455942	activating
DPF1	M08582_1	0.0003239500304886844	-0.20690018142946406	0.059568559538351815	repressing
DPF3	M08582_1	0.0003239500304886844	-0.20690018142946406	0.059568559538351815	repressing
