index	lr_test	pval	rsq	beta	padj	short_id	HGNC symbol	activ_or_repr	no_CAGE_enr	eRNA_enr	lncRNA_enr	mRNA_enr
M08489_1	101.05733093398885	8.93592498275197e-24	0.006158909620790243	0.5348686876032573	1.25685727474794e-22	M08489_1	ATF4	activating				3.0
M09435_1	9.900656296813395	0.0016521983912452277	0.0006053760775003303	0.14696069367024278	0.006325280231571966	M09435_1	ATF6	activating				
M09436_1	226.72659834134538	3.084883177368863e-51	0.013755493004755204	0.7361415896415562	7.128283627705909e-50	M09436_1	ATF6	activating				
M10064_1	7.675357789375994	0.005597999269650455	0.000469347720625235	0.12533599549834298	0.01906266067086234	M10064_1	ATF6B	activating				
M10064_1	7.675357789375994	0.005597999269650455	0.000469347720625235	0.12533599549834298	0.01906266067086234	M10064_1	ATF6B	activating				
M05568_1	209.2853953027734	1.9668603767672754e-47	0.012705295697346797	0.7517532027896648	3.976745824276335e-46	M05568_1	ATF7	activating				
M08490_1	164.08612633772282	1.4485948393172514e-37	0.009977536094762485	0.7180257259696894	2.4343918468526278e-36	M08490_1	ATF7	activating				
M09441_1	14.932538182816643	0.00011142454664028723	0.0009128852479750593	-0.13958060841623238	0.0005721562037798876	M09441_1	ATOH1	repressing		1.0		
M09442_1	11.205898607251584	0.0008153773239980601	0.0006851529635882869	-0.2954279744276911	0.003392598897921189	M09442_1	ATOH1	repressing				
M08492_1	19.964860671614588	7.887849996342033e-06	0.0012203098616384578	-0.2912877110870038	4.954795094789607e-05	M08492_1	ATOH7	repressing				
M08945_1	18.73236627994629	1.5040775560526524e-05	0.0011450270778625704	-0.3489291335789543	9.180548856283643e-05	M08945_1	ATOH8	repressing				
M06885_1	32.119897003074584	1.4494523104113543e-08	0.001962401495201327	0.24577060838442316	1.2023021087642902e-07	M06885_1	BACH1	activating	0.0	1.0		
M09445_1	20.637242253935256	5.550581317343892e-06	0.001261377215814874	0.2550237323550957	3.503635231533169e-05	M09445_1	BACH2	activating		1.0		
M09446_1	6.911852437275229	0.008562623508826124	0.00042267103366611103	0.20048761066520998	0.027290726158672424	M09446_1	BACH2	activating				
M08502_1	189.70162556560535	3.693686211223373e-43	0.011524512818542831	0.6140119980406261	6.731873179328232e-42	M08502_1	BATF3	activating				
M05292_1	45.01704296434764	1.9532705629368538e-11	0.0027490902291390507	0.1818376293721049	1.9901827625514085e-10	M05292_1	BCL11A	activating		1.0		
M08508_1	11.74903231587814	0.0006087487978498239	0.0007183472835032845	-0.2079198917081545	0.0026257364813922403	M08508_1	BCL11B	repressing				
M05580_1	26.315054950886406	2.9001910627964013e-07	0.0016080842284774688	0.2567750263502807	2.2206196658334576e-06	M05580_1	BHLHE40	activating				
M08516_1	41.63338395235769	1.1009713545795661e-10	0.0025427675130720306	0.34017421840824036	1.0711706261849312e-09	M08516_1	BHLHE40	activating				
M05584_1	41.279882336551964	1.319196287725569e-10	0.0025212094206962243	0.3223862295235272	1.2739104450126017e-09	M05584_1	BHLHE41	activating				
M06463_1	9.041495197503536	0.0026391969893254956	0.0005528597429999005	0.10533633281091082	0.009729689185718492	M06463_1	BPTF	activating		1.0		
M06466_1	9.767649698784226	0.001776093558560537	0.0005972462444918669	-0.27881268213665655	0.0067397802486138855	M06466_1	CDC5L	repressing	0.0			
M08526_1	20.818458186775388	5.049396681572269e-06	0.0012724450829917355	0.33246055487529846	3.2029016205659395e-05	M08526_1	CEBPD	activating				
M06474_1	558.5488355818452	1.738988907760552e-123	0.03348634229078162	0.7546653706938389	9.376048527675644e-122	M06474_1	CEBPZ	activating			2.0	
M02158_1	21.979252364901186	2.756138311482708e-06	0.0013433378266077822	0.20158540861797097	1.8383726675559915e-05	M02158_1	CIC	activating				
M05596_1	10.173821100841451	0.0014244874978768995	0.0006220726307381019	-0.2098690773017493	0.005535395862620745	M05596_1	CLOCK	repressing				
M08534_1	6.603485071493196	0.010177935986040311	0.0004038183527035333	-0.12498253323835601	0.0315077731242492	M08534_1	CLOCK	repressing				
