index	gene_id	gene_name
M05876_1	ENSG00000106852	LHX6
M05877_1	ENSG00000143355	LHX9
M05878_1	ENSG00000143355	LHX9
M05879_1	ENSG00000162761	LMX1A
M05880_1	ENSG00000136944	LMX1B
M05881_1	ENSG00000136944	LMX1B
M05882_1	ENSG00000185022	MAFF
M05883_1	ENSG00000197063	MAFG
M05884_1	ENSG00000198517	MAFK
M05885_1	ENSG00000198517	MAFK
M05886_1	ENSG00000198517	MAFK
M05887_1	ENSG00000198517	MAFK
M05888_1	ENSG00000125952	MAX
M05889_1	ENSG00000125952	MAX
M05890_1	ENSG00000068305	MEF2A
M05891_1	ENSG00000213999	MEF2B
M05892_1	ENSG00000116604	MEF2D
M05893_1	ENSG00000143995	MEIS1
M05894_1	ENSG00000134138	MEIS2
M05895_1	ENSG00000134138	MEIS2
M05896_1	ENSG00000105419	MEIS3
M05897_1	ENSG00000105419	MEIS3
M05898_1	ENSG00000005102	MEOX1
M05899_1	ENSG00000106511	MEOX2
M05900_1	ENSG00000106511	MEOX2
M05901_1	ENSG00000106511	MEOX2
M05902_1	ENSG00000166823	MESP1
M05903_1	ENSG00000174197	MGA
M05904_1	ENSG00000174197	MGA
M05905_1	ENSG00000174197	MGA
M05906_1	ENSG00000185155	MIXL1
M05907_1	ENSG00000108788	MLX
M05908_1	ENSG00000009950	MLXIPL
M05909_1	ENSG00000070444	MNT
M05910_1	ENSG00000130675	MNX1
M05911_1	ENSG00000178860	MSC
M05912_1	ENSG00000163132	MSX1
M05913_1	ENSG00000163132	MSX1
M05914_1	ENSG00000163132	MSX1
M05915_1	ENSG00000120149	MSX2
M05916_1	ENSG00000120149	MSX2
M05917_1	ENSG00000188786	MTF1
M05918_1	ENSG00000185697	MYBL1
M05919_1	ENSG00000185697	MYBL1
M05920_1	ENSG00000185697	MYBL1
M05921_1	ENSG00000185697	MYBL1
M05922_1	ENSG00000101057	MYBL2
M05923_1	ENSG00000101057	MYBL2
M05924_1	ENSG00000101057	MYBL2
M05925_1	ENSG00000101057	MYBL2
M05926_1	ENSG00000111046	MYF6
M05927_1	ENSG00000171532	NEUROD2
M05928_1	ENSG00000178403	NEUROG2
M05929_1	ENSG00000178403	NEUROG2
M05930_1	ENSG00000102908	NFAT5
M05931_1	ENSG00000131196	NFATC1
M05932_1	ENSG00000131196	NFATC1
M05933_1	ENSG00000131196	NFATC1
M05934_1	ENSG00000123405	NFE2
M05935_1	ENSG00000162599	NFIA
M05936_1	ENSG00000162599	NFIA
M05937_1	ENSG00000147862	NFIB
M05938_1	ENSG00000165030	NFIL3
M05939_1	ENSG00000008441	NFIX
M05940_1	ENSG00000008441	NFIX
M05941_1	ENSG00000008441	NFIX
M05942_1	ENSG00000008441	NFIX
M05943_1	ENSG00000109320	NFKB1
M05944_1	ENSG00000077150	NFKB2
M05945_1	ENSG00000171786	NHLH1
M05946_1	ENSG00000171786	NHLH1
M05947_1	ENSG00000214513	NOTO
M05948_1	ENSG00000177463	NR2C2
M05949_1	ENSG00000112333	NR2E1
M05950_1	ENSG00000112333	NR2E1
M05951_1	ENSG00000175745	NR2F1
M05952_1	ENSG00000175745	NR2F1
M05953_1	ENSG00000175745	NR2F1
M05954_1	ENSG00000175745	NR2F1
M05955_1	ENSG00000160113	NR2F6
M05956_1	ENSG00000160113	NR2F6
M05957_1	ENSG00000160113	NR2F6
M05958_1	ENSG00000113580	NR3C1
M05959_1	ENSG00000151623	NR3C2
M05960_1	ENSG00000153234	NR4A2
M05961_1	ENSG00000153234	NR4A2
M05962_1	ENSG00000153234	NR4A2
M05963_1	ENSG00000106459	NRF1
M05964_1	ENSG00000129535	NRL
M05965_1	ENSG00000184221	OLIG1
M05966_1	ENSG00000205927	OLIG2
M05967_1	ENSG00000205927	OLIG2
M05968_1	ENSG00000177468	OLIG3
M05969_1	ENSG00000169856	ONECUT1
M05970_1	ENSG00000169856	ONECUT1
M05971_1	ENSG00000119547	ONECUT2
M05972_1	ENSG00000205922	ONECUT3
M05973_1	ENSG00000115507	OTX1
M05974_1	ENSG00000115507	OTX1
M05975_1	ENSG00000165588	OTX2
M05976_1	ENSG00000165588	OTX2
M05977_1	ENSG00000125813	PAX1
M05978_1	ENSG00000075891	PAX2
M05979_1	ENSG00000135903	PAX3
M05980_1	ENSG00000106331	PAX4
M05981_1	ENSG00000106331	PAX4
M05982_1	ENSG00000196092	PAX5
M05983_1	ENSG00000007372	PAX6
M05984_1	ENSG00000009709	PAX7
M05985_1	ENSG00000009709	PAX7
M05986_1	ENSG00000198807	PAX9
M05987_1	ENSG00000139515	PDX1
M05988_1	ENSG00000139515	PDX1
M05989_1	ENSG00000165462	PHOX2A
M05990_1	ENSG00000109132	PHOX2B
M05991_1	ENSG00000109132	PHOX2B
M05992_1	ENSG00000069011	PITX1
M05993_1	ENSG00000069011	PITX1
M05994_1	ENSG00000069011	PITX1
M05995_1	ENSG00000107859	PITX3
M05996_1	ENSG00000160199	PKNOX1
M05997_1	ENSG00000165495	PKNOX2
M05998_1	ENSG00000064835	POU1F1
M05999_1	ENSG00000064835	POU1F1
