index	gene_name	mean_tpm
ENSG00000186448	ZNF197	1148.060226211667
ENSG00000169981	ZNF35	1072.0127689625642
ENSG00000196653	ZNF502	306.1498888055383
ENSG00000186446	ZNF501	286.662916518853
ENSG00000012223	LTF	9.35852485771171
ENSG00000164048	ZNF589	9567.936754670274
ENSG00000163666	HESX1	149.801335264558
ENSG00000153266	FEZF2	0.3357743322335233
ENSG00000187098	MITF	29.976304947203868
ENSG00000114861	FOXP1	482.32831027179463
ENSG00000064835	POU1F1	0.93410965387369
ENSG00000066422	ZBTB11	1065.0614874108278
ENSG00000114439	BBX	1879.8590508217137
ENSG00000181722	ZBTB20	8.626530319261377
ENSG00000144852	NR1I2	14.1882672815775
ENSG00000186103	ARGFX	1.9913720358703764
ENSG00000163848	ZNF148	717.5509944580526
ENSG00000163884	KLF15	320.849277798219
ENSG00000179348	GATA2	12.497758641644495
ENSG00000168875	SOX14	21.9329849065002
ENSG00000183770	FOXL2	157.8310351259773
ENSG00000114126	TFDP2	3586.4392704882935
ENSG00000174963	ZIC4	3.0242299702581104
ENSG00000152977	ZIC1	6.882690823797664
ENSG00000168779	SHOX2	2.9138447109786934
ENSG00000085276	MECOM	13.656126878394133
ENSG00000085274	MYNN	816.8347168970644
ENSG00000181449	SOX2	9299.778774254
ENSG00000244405	ETV5	3185.3843490504964
ENSG00000113916	BCL6	155.29668412025265
ENSG00000073282	TP63	3.5609889278367794
ENSG00000114315	HES1	675.478172971401
ENSG00000250312	ZNF718	426.80972957066905
ENSG00000131127	ZNF141	712.474632790475
ENSG00000235608	NKX1-1	0.0
ENSG00000123933	MXD4	1777.7067036691867
ENSG00000168826	ZBTB49	387.8234312184343
ENSG00000163132	MSX1	1.6428302347932735
ENSG00000215612	HMX1	2.65015323149384
ENSG00000109705	NKX3-2	56.1069588054477
ENSG00000178177	LCORL	321.6902053762833
ENSG00000168214	RBPJ	8347.2755096317
ENSG00000109787	KLF3	1646.42109124719
ENSG00000109132	PHOX2B	0.0
ENSG00000180613	GSX2	0.0
ENSG00000134852	CLOCK	1164.3033331333045
ENSG00000084093	REST	2143.1327605289775
ENSG00000189308	LIN54	470.69585965060236
ENSG00000163623	NKX6-1	0.6843161333106268
ENSG00000180346	TIGD2	264.0745298843537
ENSG00000172238	ATOH1	12.681357243750833
ENSG00000109320	NFKB1	723.9504719669125
ENSG00000138795	LEF1	17.052076013177633
ENSG00000164093	PITX2	53.92284765276293
ENSG00000178403	NEUROG2	1.6672346824022333
ENSG00000109381	ELF2	1235.2541500759987
ENSG00000170365	SMAD1	860.029260299114
