motif_id	tf_name
M1591_1.02	Sox5
M1592_1.02	Sox3
M1593_1.02	Sox18
M1594_1.02	Sox12
M1595_1.02	Sox5
M1596_1.02	Sox14
M1597_1.02	Sox14
M1598_1.02	Tcf7l2
M1599_1.02	Sox14
M1600_1.02	Sox7
M1601_1.02	Sox11
M1602_1.02	Sry
M1603_1.02	Sox5
M1604_1.02	Sox11
M1605_1.02	Sox14
M1623_1.02	Tbx2
M1625_1.02	Tbx2
M1626_1.02	Tbx2
M1627_1.02	Tbx2
M1628_1.02	Tbx1
M1629_1.02	Tbx2
M1630_1.02	Tbx2
M1631_1.02	Tbx1
M1632_1.02	Tbx21
M1633_1.02	Tbx21
M1634_1.02	Tbx2
M1639_1.02	Tbx2
M1640_1.02	Tbx2
M1641_1.02	Tbp
M1642_1.02	Tbp
M1668_1.02	Prkrir
M1837_1.02	Runx1
M1839_1.02	Arnt
M1841_1.02	Nr3c1
M1843_1.02	Tbx19
M1848_1.02	Pax9
M1850_1.02	Rxrg
M1851_1.02	Nr2f6
M1856_1.02	E2f1
M1857_1.02	Nfil3
M1858_1.02	Elf4
M1859_1.02	En2
M1860_1.02	Etv3
M1861_1.02	Mecom
M1862_1.02	Foxj2
M1863_1.02	Foxj2
M1864_1.02	Foxj2
M1865_1.02	Foxj2
M1867_1.02	Gata6
M1869_1.02	Gata6
M1870_1.02	Gfi1b
M1871_1.02	Klf6
M1872_1.02	Foxg1
M1873_1.02	Foxj2
M1874_1.02	Foxj2
M1875_1.02	Hlf
M1877_1.02	Zfp957
M1878_1.02	Hnf1b
M1879_1.02	Foxj2
M1880_1.02	Tal1
M1882_1.02	Irf1
M1884_1.02	Mef2d
M1887_1.02	Mzf1
M1888_1.02	Mzf1
M1889_1.02	Max
M1890_1.02	Nfya
M1891_1.02	Etv3
M1892_1.02	Nkx2-1
M1894_1.02	Pparg
M1895_1.02	Pax2
M1896_1.02	Pax4
M1897_1.02	Pax6
M1898_1.02	Pbx4
M1899_1.02	Rorc
M1900_1.02	Rorc
M1901_1.02	Rreb1
M1902_1.02	Phox2a
M1903_1.02	Etv3
M1904_1.02	Sox9
M1905_1.02	Sox17
M1906_1.02	Sp1
M1907_1.02	Sfpi1
M1908_1.02	Sfpi1
