gene_id	rep1	rep2	rep3
ENSMUSG00000080849	0	0	0
ENSMUSG00000104257	2	2	1
ENSMUSG00000096866	0	0	0
ENSMUSG00000102296	0	0	0
ENSMUSG00000103209	0	0	0
ENSMUSG00000104027	2	1	0
ENSMUSG00000102407	0	0	0
ENSMUSG00000103214	0	0	0
ENSMUSG00000104100	3	5	5
ENSMUSG00000084740	0	0	0
ENSMUSG00000103889	3	1	6
ENSMUSG00000101301	0	0	0
ENSMUSG00000104221	0	0	0
ENSMUSG00000102250	0	0	2
ENSMUSG00000102317	6	10	8
ENSMUSG00000103563	0	0	0
ENSMUSG00000102465	17	16	17
ENSMUSG00000102659	44	33	34
ENSMUSG00000103924	0	0	0
ENSMUSG00000104132	2	0	0
ENSMUSG00000102747	0	2	3
ENSMUSG00000102386	2	3	3
ENSMUSG00000103004	0	0	0
ENSMUSG00000104516	0	0	0
ENSMUSG00000101618	0	0	0
ENSMUSG00000099458	0	0	0
ENSMUSG00000088111	0	0	0
ENSMUSG00000073722	0	0	0
ENSMUSG00000095256	0	0	0
ENSMUSG00000100310	0	0	0
ENSMUSG00000101514	0	0	0
ENSMUSG00000101033	0	0	0
ENSMUSG00000101372	1	3	0
ENSMUSG00000103241	1	0	1
ENSMUSG00000086240	36	66	80
ENSMUSG00000048411	0	0	0
ENSMUSG00000081557	25	15	17
ENSMUSG00000058590	0	0	0
ENSMUSG00000101235	0	0	0
ENSMUSG00000064433	0	0	0
ENSMUSG00000080625	0	0	0
ENSMUSG00000080391	0	0	0
ENSMUSG00000099257	0	0	0
ENSMUSG00000099492	11	12	3
ENSMUSG00000101726	0	0	0
ENSMUSG00000096829	0	0	0
ENSMUSG00000098883	0	0	0
ENSMUSG00000053185	0	0	0
ENSMUSG00000100261	4	8	2
ENSMUSG00000101180	0	0	0
ENSMUSG00000048874	15385	15434	20229
ENSMUSG00000103783	14	9	31
ENSMUSG00000104315	21	16	15
ENSMUSG00000026064	9184	9586	11787
ENSMUSG00000086151	0	2	0
ENSMUSG00000086726	0	0	0
ENSMUSG00000087346	0	0	0
ENSMUSG00000100371	1	2	0
ENSMUSG00000100237	0	0	0
ENSMUSG00000098529	0	0	0
ENSMUSG00000086727	1	0	4
ENSMUSG00000100910	0	0	0
ENSMUSG00000099796	0	0	0
ENSMUSG00000050217	0	0	0
ENSMUSG00000026063	0	0	0
ENSMUSG00000077664	0	0	0
ENSMUSG00000100205	0	0	0
ENSMUSG00000100592	0	0	0
ENSMUSG00000094215	0	0	0
ENSMUSG00000101093	0	0	0
ENSMUSG00000070960	76	58	102
ENSMUSG00000088620	0	0	0
ENSMUSG00000082159	0	0	0
ENSMUSG00000026058	8	12	5
ENSMUSG00000064688	0	0	0
ENSMUSG00000103482	0	0	0
ENSMUSG00000104498	2	0	2
ENSMUSG00000104313	0	0	0
ENSMUSG00000102865	0	0	0
ENSMUSG00000102321	0	0	1
ENSMUSG00000091318	1	2	0
ENSMUSG00000089489	0	0	0
ENSMUSG00000104433	5	10	8
ENSMUSG00000089395	0	0	0
ENSMUSG00000102926	3	5	2
ENSMUSG00000100497	0	0	0
ENSMUSG00000102917	43	65	74
ENSMUSG00000100481	0	2	2
ENSMUSG00000100590	0	0	0
ENSMUSG00000088750	0	0	0
ENSMUSG00000104230	0	0	0
ENSMUSG00000101754	0	0	0
ENSMUSG00000065223	0	0	0
ENSMUSG00000100318	0	0	0
ENSMUSG00000101612	0	0	0
ENSMUSG00000065260	0	0	0
ENSMUSG00000026134	2623	2686	3371
ENSMUSG00000101682	2	2	4
ENSMUSG00000102714	0	2	0
ENSMUSG00000102093	0	0	0
ENSMUSG00000103746	8	6	8
ENSMUSG00000102198	0	0	2
ENSMUSG00000004768	1914	2146	2827
ENSMUSG00000042215	84	95	106
ENSMUSG00000103072	0	0	0
ENSMUSG00000042197	4664	4889	6317
ENSMUSG00000081402	61	58	123
ENSMUSG00000042182	20	25	32
ENSMUSG00000104416	0	0	0
ENSMUSG00000026131	40222	40730	54503
ENSMUSG00000103596	1	0	1
ENSMUSG00000099382	0	0	0
ENSMUSG00000084506	0	0	0
ENSMUSG00000103364	9	16	15
ENSMUSG00000105982	0	0	0
ENSMUSG00000096992	58	69	96
ENSMUSG00000103001	0	0	0
ENSMUSG00000104397	0	0	0
ENSMUSG00000102839	0	0	0
ENSMUSG00000101206	0	0	0
ENSMUSG00000101462	232	200	276
ENSMUSG00000102336	65	40	72
ENSMUSG00000092852	0	0	0
ENSMUSG00000042111	2308	2549	3330
ENSMUSG00000101711	5	11	11
ENSMUSG00000026127	7485	7661	10005
ENSMUSG00000026126	43	37	42
ENSMUSG00000100280	41	69	71
ENSMUSG00000101223	0	0	0
ENSMUSG00000026125	6	3	4
ENSMUSG00000101116	0	0	0
ENSMUSG00000026124	11	8	6
ENSMUSG00000101803	0	0	0
ENSMUSG00000037529	4	0	2
ENSMUSG00000045815	0	0	0
ENSMUSG00000045174	0	2	0
ENSMUSG00000100524	0	0	0
ENSMUSG00000102499	0	0	0
ENSMUSG00000103521	0	0	0
ENSMUSG00000104098	0	0	0
ENSMUSG00000037509	193	208	259
ENSMUSG00000102537	0	0	0
ENSMUSG00000102612	0	0	0
ENSMUSG00000104002	9	9	16
ENSMUSG00000037503	9569	10299	13688
ENSMUSG00000104358	41	17	44
ENSMUSG00000026123	3271	3026	4066
ENSMUSG00000103716	6	11	16
ENSMUSG00000103548	1	0	0
ENSMUSG00000103760	2	5	3
ENSMUSG00000103997	0	0	0
ENSMUSG00000077231	0	0	0
ENSMUSG00000104417	0	0	0
ENSMUSG00000064601	0	0	0
ENSMUSG00000101714	0	0	0
ENSMUSG00000102531	0	0	0
ENSMUSG00000103096	0	0	0
ENSMUSG00000102279	0	1	2
ENSMUSG00000103708	89	75	104
ENSMUSG00000104201	14	28	28
ENSMUSG00000102434	3	0	5
ENSMUSG00000045216	7035	7127	9284
ENSMUSG00000104523	0	0	0
ENSMUSG00000102202	18	17	27
ENSMUSG00000037470	18943	19760	25642
ENSMUSG00000098752	0	0	2
ENSMUSG00000047180	15	19	16
ENSMUSG00000037447	567	543	669
ENSMUSG00000102762	6	0	4
ENSMUSG00000010453	3948	4221	5456
ENSMUSG00000098680	0	0	0
ENSMUSG00000037432	146	115	175
ENSMUSG00000001143	1342	1379	1770
ENSMUSG00000037408	264	278	368
ENSMUSG00000104316	4	2	4
ENSMUSG00000106081	0	0	0
ENSMUSG00000001138	1442	1556	2038
ENSMUSG00000102845	0	0	0
ENSMUSG00000067653	19	18	34
ENSMUSG00000109510	0	0	0
ENSMUSG00000079610	199	246	318
ENSMUSG00000026121	197	250	313
ENSMUSG00000087589	26	28	33
ENSMUSG00000046337	1271	1311	1823
ENSMUSG00000089906	5	2	4
ENSMUSG00000077939	0	2	0
ENSMUSG00000061518	4066	4295	6128
ENSMUSG00000037351	5968	6447	8618
ENSMUSG00000102416	2	1	3
ENSMUSG00000104237	1	3	2
ENSMUSG00000026117	135	149	176
ENSMUSG00000097291	2	0	0
ENSMUSG00000026116	10386	10442	13621
ENSMUSG00000103016	5	2	0
ENSMUSG00000102930	3	0	2
ENSMUSG00000103159	3	2	3
ENSMUSG00000080054	20	19	33
ENSMUSG00000095944	0	0	0
ENSMUSG00000050122	368	385	528
ENSMUSG00000103603	7	10	0
ENSMUSG00000026114	233	239	287
ENSMUSG00000102231	0	0	0
ENSMUSG00000026113	364	372	474
ENSMUSG00000086064	0	0	0
ENSMUSG00000102879	0	0	0
ENSMUSG00000026112	6251	6527	8594
ENSMUSG00000026111	1404	1468	1889
ENSMUSG00000026110	820	876	1146
ENSMUSG00000103948	1	0	2
ENSMUSG00000087233	0	0	0
ENSMUSG00000026090	21	14	12
