orth_id	hESC_rep1	hESC_rep2	mESC_rep1	mESC_rep2	mESC_rep3
ENSG00000142621__ENSMUSG00000051435	94	107	18	19	21
ENSG00000142634__ENSMUSG00000040659	1477	1011	849	970	1153
ENSG00000162438__ENSMUSG00000062478	1	5	0	0	2
ENSG00000142615__ENSMUSG00000058579	2	1	6	3	8
ENSG00000215704__ENSMUSG00000058579	1	6	6	3	8
ENSG00000132906__ENSMUSG00000028914	1002	690	2196	2268	2970
ENSG00000116138__ENSMUSG00000040697	1714	1323	1462	1480	2018
ENSG00000116771__ENSMUSG00000040706	361	213	1	0	0
ENSG00000215695__ENSMUSG00000040715	0	0	0	0	0
ENSG00000215695__ENSMUSG00000078515	0	0	4521	4394	6023
ENSG00000116786__ENSMUSG00000028917	4152	2744	737	708	1021
ENSG00000162461__ENSMUSG00000040740	32	35	9	4	12
ENSG00000162460__ENSMUSG00000043085	30	20	213	254	319
ENSG00000162458__ENSMUSG00000006219	4393	3012	14794	15690	20918
ENSG00000233954__ENSMUSG00000063882	32	46	5484	5602	7390
ENSG00000065526__ENSMUSG00000040761	7184	6070	8622	8776	11646
ENSG00000116809__ENSMUSG00000006215	1035	835	1700	1874	2389
ENSG00000183888__ENSMUSG00000070637	15	8	98	123	177
ENSG00000173641__ENSMUSG00000006221	20	18	8	3	11
ENSG00000185519__ENSMUSG00000006218	37	59	215	210	248
ENSG00000142627__ENSMUSG00000006445	4039	3247	8732	9050	12512
ENSG00000142632__ENSMUSG00000028919	1066	839	560	624	768
ENSG00000132881__ENSMUSG00000073733	191	101	84	66	88
ENSG00000037637__ENSMUSG00000028920	2119	1408	5693	6124	7970
ENSG00000055070__ENSMUSG00000040842	5611	4139	6675	7042	9265
ENSG00000187144__ENSMUSG00000045004	4	7	48	30	55
ENSG00000157191__ENSMUSG00000028923	1928	1584	2196	2259	2903
ENSG00000058453__ENSMUSG00000040860	3679	2696	3970	4170	5676
ENSG00000117122__ENSMUSG00000060572	6872	5185	27	25	24
ENSG00000159363__ENSMUSG00000036622	3735	2811	1777	1953	2374
ENSG00000117118__ENSMUSG00000009863	3287	2573	7251	8022	10443
ENSG00000117115__ENSMUSG00000028927	217	205	1605	1608	2060
ENSG00000142623__ENSMUSG00000025329	12	18	52	47	60
ENSG00000142619__ENSMUSG00000025328	22	43	517	472	713
ENSG00000159339__ENSMUSG00000025330	5	13	879	1007	1168
ENSG00000276747__ENSMUSG00000040935	0	1	14	24	16
